Journal features:         journal_incompat_revoke journal_64bit journal_checksum_v3
Journal size:             64M
Journal length:           16384
Journal sequence:         0x000002a2
Journal start:            1401
Journal checksum type:    crc32c
Journal checksum:         0xa3049880

Journal starts at block 1401, transaction 674
Found expected sequence 674, type 1 (descriptor block) at block 1401
Found expected sequence 674, type 2 (commit block) at block 1407
Found expected sequence 675, type 1 (descriptor block) at block 1408
Found expected sequence 675, type 2 (commit block) at block 1414
Found expected sequence 676, type 1 (descriptor block) at block 1415
Found expected sequence 676, type 2 (commit block) at block 1421
Found expected sequence 677, type 1 (descriptor block) at block 1422
Found expected sequence 677, type 2 (commit block) at block 1428
Found expected sequence 678, type 1 (descriptor block) at block 1429
Found expected sequence 678, type 2 (commit block) at block 1435
Found expected sequence 679, type 1 (descriptor block) at block 1436
Found expected sequence 679, type 2 (commit block) at block 1442
Found expected sequence 680, type 1 (descriptor block) at block 1443
Found expected sequence 680, type 2 (commit block) at block 1449
Found expected sequence 681, type 1 (descriptor block) at block 1450
Found expected sequence 681, type 2 (commit block) at block 1456
Found expected sequence 682, type 1 (descriptor block) at block 1457
Found expected sequence 682, type 2 (commit block) at block 1463
Found expected sequence 683, type 1 (descriptor block) at block 1464
Found expected sequence 683, type 2 (commit block) at block 1470
Found expected sequence 684, type 1 (descriptor block) at block 1471
Found expected sequence 684, type 2 (commit block) at block 1477
Found expected sequence 685, type 1 (descriptor block) at block 1478
Found expected sequence 685, type 2 (commit block) at block 1484
Found expected sequence 686, type 1 (descriptor block) at block 1485
Found expected sequence 686, type 2 (commit block) at block 1491
Found expected sequence 687, type 1 (descriptor block) at block 1492
Found expected sequence 687, type 2 (commit block) at block 1498
Found expected sequence 688, type 1 (descriptor block) at block 1499
Found expected sequence 688, type 2 (commit block) at block 1505
Found expected sequence 689, type 1 (descriptor block) at block 1506
Found expected sequence 689, type 2 (commit block) at block 1512
Found expected sequence 690, type 1 (descriptor block) at block 1513
Found expected sequence 690, type 2 (commit block) at block 1519
Found expected sequence 691, type 1 (descriptor block) at block 1520
Found expected sequence 691, type 2 (commit block) at block 1526
Found expected sequence 692, type 1 (descriptor block) at block 1527
Found expected sequence 692, type 2 (commit block) at block 1533
Found expected sequence 693, type 1 (descriptor block) at block 1534
Found expected sequence 693, type 2 (commit block) at block 1540
Found expected sequence 694, type 1 (descriptor block) at block 1541
Found expected sequence 694, type 2 (commit block) at block 1547
Found expected sequence 695, type 1 (descriptor block) at block 1548
Found expected sequence 695, type 2 (commit block) at block 1554
Found expected sequence 696, type 1 (descriptor block) at block 1555
Found expected sequence 696, type 2 (commit block) at block 1561
Found expected sequence 697, type 1 (descriptor block) at block 1562
Found expected sequence 697, type 2 (commit block) at block 1568
Found expected sequence 698, type 1 (descriptor block) at block 1569
Found expected sequence 698, type 2 (commit block) at block 1574
Found expected sequence 699, type 1 (descriptor block) at block 1575
Found expected sequence 699, type 2 (commit block) at block 1581
Found expected sequence 700, type 1 (descriptor block) at block 1582
Found expected sequence 700, type 2 (commit block) at block 1588
Found expected sequence 701, type 1 (descriptor block) at block 1589
Found expected sequence 701, type 2 (commit block) at block 1595
Found expected sequence 702, type 1 (descriptor block) at block 1596
Found expected sequence 702, type 2 (commit block) at block 1602
Found expected sequence 703, type 1 (descriptor block) at block 1603
Found expected sequence 703, type 2 (commit block) at block 1609
Found expected sequence 704, type 1 (descriptor block) at block 1610
Found expected sequence 704, type 2 (commit block) at block 1616
Found expected sequence 705, type 1 (descriptor block) at block 1617
Found expected sequence 705, type 2 (commit block) at block 1623
Found expected sequence 706, type 1 (descriptor block) at block 1624
Found expected sequence 706, type 2 (commit block) at block 1630
Found expected sequence 707, type 1 (descriptor block) at block 1631
Found expected sequence 707, type 2 (commit block) at block 1637
Found expected sequence 708, type 1 (descriptor block) at block 1638
Found expected sequence 708, type 2 (commit block) at block 1679
Found expected sequence 709, type 1 (descriptor block) at block 1680
Found expected sequence 709, type 2 (commit block) at block 1805
Found expected sequence 710, type 1 (descriptor block) at block 1806
Found expected sequence 710, type 2 (commit block) at block 1812
Found expected sequence 711, type 1 (descriptor block) at block 1813
Found expected sequence 711, type 2 (commit block) at block 1819
Found expected sequence 712, type 1 (descriptor block) at block 1820
Found expected sequence 712, type 2 (commit block) at block 1826
Found expected sequence 713, type 1 (descriptor block) at block 1827
Found expected sequence 713, type 2 (commit block) at block 1833
Found expected sequence 714, type 1 (descriptor block) at block 1834
